PostId,PostTypeId
41177406,1
26127859,1
42612316,1
42991962,1
44746904,1
45088313,1
30429659,1
23605528,1
46930239,1
40125862,1
32857841,1
47555767,1
30441273,2
38944861,2
38955505,2
30520127,2
30523624,2
39051851,2
39079018,2
39186820,2
39192849,2
39296256,2
39343543,2
7242428,2
14640141,2
14660498,2
30973600,2
39501446,2
39541514,2
39587539,2
31107487,2
14799567,2
31120374,2
22748734,2
31153331,2
39711184,2
39729586,2
14924113,2
14925349,2
39762147,2
39842384,2
31335654,2
31384325,2
7677543,2
31576028,2
40114594,2
40115596,2
40130738,2
31616175,2
31631276,2
1048118,2
40224816,2
31734856,2
40315096,2
31813244,2
8104304,2
8163883,2
31966521,2
23614686,2
15666920,2
40571787,2
23715533,2
40652797,2
23779651,2
40719370,2
15848442,2
23878713,2
40908110,2
40914733,2
32383530,2
40946864,2
40947375,2
16124812,2
16146830,2
41116664,2
8768273,2
24252892,2
32659485,2
41265039,2
16405755,2
16503625,2
41435373,2
16525450,2
41472313,2
32909593,2
32920796,2
41531688,2
9122180,2
41567998,2
41608266,2
24747904,2
33123853,2
24865492,2
33238670,2
41820913,2
41830152,2
33274870,2
16900089,2
2376203,2
41885699,2
41899554,2
33363979,2
25040066,2
41947727,2
42007350,2
42015437,2
17077873,2
42051777,2
42099254,2
42120237,2
17185108,2
42150345,2
33608922,2
33654955,2
42292040,2
42408500,2
33844439,2
33876188,2
33910280,2
33928679,2
33932320,2
42526396,2
17602626,2
17613474,2
17615190,2
10055660,2
25746439,2
25980961,2
42968572,2
42984065,2
42987505,2
42996147,2
18022359,2
43050231,2
34514330,2
26195385,2
43259947,2
10661611,2
43317144,2
26458434,2
43431370,2
34817063,2
43443875,2
10808467,2
34860952,2
34861135,2
43538347,2
34922667,2
34923735,2
10921375,2
43595934,2
26666137,2
43612068,2
26689687,2
26703940,2
43695630,2
43708043,2
35097623,2
43743602,2
43766191,2
43773404,2
43825673,2
43832948,2
43883715,2
26939710,2
11201186,2
43927206,2
43927419,2
43927838,2
18860627,2
43960596,2
43966980,2
27049484,2
27050338,2
35363106,2
44049609,2
27109976,2
44105587,2
27211098,2
35511906,2
44186672,2
35530735,2
27253879,2
27265698,2
35578514,2
19151737,2
44255156,2
44291526,2
35639990,2
27394962,2
27433470,2
44404949,2
27447604,2
44412193,2
44504446,2
44528418,2
27579574,2
44574145,2
27672372,2
44705028,2
44735328,2
27758790,2
36096795,2
44802150,2
44828027,2
36148963,2
36152330,2
44843837,2
19700243,2
27890662,2
44957763,2
27966142,2
44975576,2
36278163,2
36307097,2
28077277,2
19960755,2
45151757,2
45163319,2
20004785,2
45203747,2
45204073,2
20036970,2
45258540,2
28280446,2
45350316,2
45384749,2
36696706,2
28397571,2
28419351,2
45535183,2
28521250,2
36849856,2
20378306,2
45625412,2
45679315,2
45704651,2
20538450,2
45743090,2
28751501,2
37102516,2
37138588,2
45872589,2
28878899,2
28892313,2
12995180,2
20716660,2
37257561,2
28998786,2
46055539,2
13180052,2
13213078,2
20996256,2
37517163,2
29223231,2
46301747,2
37580636,2
46352416,2
46361464,2
37631046,2
29330277,2
46403874,2
37698412,2
37743534,2
37761082,2
46505165,2
37834114,2
29529088,2
37858209,2
37912741,2
37918385,2
46731171,2
29659278,2
21610124,2
38163982,2
38167470,2
29855383,2
38212771,2
38258884,2
29927994,2
29940935,2
29950643,2
38294914,2
29978061,2
29999033,2
21894977,2
21895418,2
47264330,2
38510393,2
47323030,2
38552836,2
47368236,2
30241337,2
38624318,2
47429445,2
30381384,2
30403397,2
38787164,2
38803169,2
38826930,2
38882711,2
